Tópico,Palavras,Pesos
87,"18h, aperte, notificacoes, encaminhe, unirmos, flow, dobro, sininho, dantas, claudio","[0.1205, 0.0935, 0.0926, 0.0925, 0.0918, 0.0914, 0.0909, 0.089, 0.0867, 0.0866]"
88,"audio, escutem, oucam, musica, ouca, narracas, meditacoes, voz, eh, cid","[0.1377, 0.0501, 0.042, 0.0382, 0.0378, 0.0376, 0.0376, 0.0373, 0.0359, 0.0344]"
89,"milagres, glorias, paz, continua, mateus, graca, jesus, jonas, milagre, profeta","[0.0559, 0.0539, 0.0518, 0.0442, 0.0437, 0.0395, 0.0318, 0.0303, 0.0282, 0.027]"
90,"dia, noticias, setembro, whatsapp, chat, policia, ano, mundial, russia, ucrania","[0.0107, 0.0099, 0.0083, 0.008, 0.0075, 0.0074, 0.0072, 0.0072, 0.0071, 0.0068]"
91,"voltar, jesus, be, youtu, vai, chego, cova, escutem, revelada, verao","[0.3667, 0.2028, 0.1745, 0.1745, 0.1294, 0.0369, 0.0347, 0.0347, 0.0306, 0.0274]"
92,"senadores, eleitos, reeleito, congresso, senado, hamiltom, aprovar, destituicao, cidadania, guinada","[0.1155, 0.0863, 0.0523, 0.0448, 0.0409, 0.0395, 0.0384, 0.038, 0.0359, 0.0351]"
93,"estados, 69, df, 60, 71, 61, 67, 72, 80, 36","[0.0715, 0.0606, 0.054, 0.052, 0.0503, 0.0476, 0.0408, 0.0373, 0.0326, 0.0319]"
94,"be, youtu, lula, pobre, diz, defende, pt, ditaduras, bater, papel","[0.1155, 0.1155, 0.0541, 0.0433, 0.038, 0.0361, 0.0293, 0.0274, 0.0261, 0.025]"
95,"batalha, guerra, vamos, firmes, fa, luta, frente, perdemos, dobrar, continuar","[0.0834, 0.0516, 0.0328, 0.0308, 0.0298, 0.0276, 0.0267, 0.0265, 0.0261, 0.0258]"
96,"cenas, indecisos, violencia, proteja, verdadeira, ajude, fotos, vi, ultimos, mensagem","[0.2549, 0.2268, 0.2119, 0.1955, 0.1945, 0.1939, 0.1697, 0.1658, 0.1559, 0.1084]"
97,"vitoria, vamos, vivo, cavalheiros, ausentou, ontime, reergue, vencer, ganhar, hesed","[0.0686, 0.0579, 0.0424, 0.0413, 0.0413, 0.0413, 0.0413, 0.0404, 0.0398, 0.0368]"
98,"youtu, be, lula, pobre, defende, diz, pt, ditaduras, bater, papel","[0.1188, 0.1181, 0.0573, 0.0451, 0.043, 0.0397, 0.0303, 0.0285, 0.0277, 0.0261]"
99,"instagram, www, user, misturados, traga, sege, faltam, confia, 22presidentebolsonaro, diegomelo","[0.1254, 0.0808, 0.0684, 0.0303, 0.0262, 0.0227, 0.0224, 0.0218, 0.0216, 0.0216]"
100,"deus, lovado, sare, conosco, comanda, nois, livre, oi, entenda, mandando","[0.1646, 0.1065, 0.1009, 0.0918, 0.0912, 0.0873, 0.0867, 0.0822, 0.0704, 0.0685]"
